# call objective best wall_seconds
1.6300000000e+02 8.1042021801e+01 2.1971735967e+01 2.4134452205e+01
1.6400000000e+02 8.1042095891e+01 2.1971735967e+01 2.2557342081e+01
1.6500000000e+02 8.1043238654e+01 2.1971735967e+01 2.2986284459e+01
1.6600000000e+02 8.1049477275e+01 2.1971735967e+01 2.2768931320e+01
1.6700000000e+02 8.1050674610e+01 2.1971735967e+01 2.1800485971e+01
1.6800000000e+02 8.1047582106e+01 2.1971735967e+01 2.4670632323e+01
1.6900000000e+02 8.1055504861e+01 2.1971735967e+01 2.4712153825e+01
1.7000000000e+02 8.1048059986e+01 2.1971735967e+01 2.2623626788e+01
1.7100000000e+02 8.1053505727e+01 2.1971735967e+01 2.4229345431e+01
1.7200000000e+02 8.1055340135e+01 2.1971735967e+01 2.2569286557e+01
1.7300000000e+02 8.1050728025e+01 2.1971735967e+01 2.2688261411e+01
1.7400000000e+02 8.1047805118e+01 2.1971735967e+01 2.3394087049e+01
1.7500000000e+02 8.1039141135e+01 2.1971735967e+01 2.3232176661e+01
1.7600000000e+02 8.1047810962e+01 2.1971735967e+01 2.2395713913e+01
1.7700000000e+02 8.1039191507e+01 2.1971735967e+01 2.2652328611e+01
1.7800000000e+02 8.1047797014e+01 2.1971735967e+01 2.3155879578e+01
1.7900000000e+02 8.1054826059e+01 2.1971735967e+01 2.2588923456e+01
1.8000000000e+02 8.1055210767e+01 2.1971735967e+01 2.2613844797e+01
1.8100000000e+02 8.1048785037e+01 2.1971735967e+01 2.2786018215e+01
1.8200000000e+02 8.1042071891e+01 2.1971735967e+01 2.2628135119e+01
1.8300000000e+02 8.1054994977e+01 2.1971735967e+01 2.2269438353e+01
1.8400000000e+02 8.1048004771e+01 2.1971735967e+01 2.2617330395e+01
1.8500000000e+02 8.1055900787e+01 2.1971735967e+01 2.2517672255e+01
1.8600000000e+02 8.1046550284e+01 2.1971735967e+01 2.2279906999e+01
1.8700000000e+02 8.1053686618e+01 2.1971735967e+01 2.2869021000e+01
1.8800000000e+02 8.1039453662e+01 2.1971735967e+01 2.3005167440e+01
1.8900000000e+02 8.1048099679e+01 2.1971735967e+01 2.2762493571e+01
1.9000000000e+02 8.1039587562e+01 2.1971735967e+01 2.2565708453e+01
1.9100000000e+02 8.1039489635e+01 2.1971735967e+01 2.2900585461e+01
1.9200000000e+02 8.1045330477e+01 2.1971735967e+01 2.2758005311e+01
1.9300000000e+02 8.1042733673e+01 2.1971735967e+01 2.2328704186e+01
1.9400000000e+02 8.1046175639e+01 2.1971735967e+01 2.2345666750e+01
1.9500000000e+02 8.1039735061e+01 2.1971735967e+01 2.2667457243e+01
1.9600000000e+02 8.1056353059e+01 2.1971735967e+01 2.2589705707e+01
1.9700000000e+02 8.1040568867e+01 2.1971735967e+01 2.2456823580e+01
1.9800000000e+02 8.1046860017e+01 2.1971735967e+01 2.2638270626e+01
1.9900000000e+02 8.1050374663e+01 2.1971735967e+01 2.2629701034e+01
2.0000000000e+02 8.1047680242e+01 2.1971735967e+01 2.2384896316e+01
2.0100000000e+02 1.0429126989e+00 1.0429126989e+00 2.2672707081e+01
